AG1478	AZD6244	Erlotinib	Fascaplysin	GSK2126458	GSK650394	Lapatinib	PF-4691502	Pemetrexed	Rapamycin	drug1	drug2	drug3	drug4	drug5	drug6	drug7
HCC70	-0.47823054757	0.852525931069	1.28248201848	0.418430755439	0.192538743443	-0.655481966069	0.417695598932	0.735711621315	-0.567035283887	0.15120427886	0.735778987085	0.279322758583	2.14333747309	0.00411131772227	0.120231234479	0.392636373634	0.329733851758
HS578T	-0.633312851835	-0.228296077272	-1.01025569276	-1.83519630014	-1.25667760506	NA	-0.646259799047	-2.72315237951	0.795013089255	-1.65532043366	-1.334842284	0.320859979148	0.59570136602	NA	0.495662960209	NA	-0.960956788377
LY2	-0.922799819796	-0.714665981025	-1.01025569276	3.3579443062	-0.0828123627714	1.18630678242	NA	0.280153923644	1.94548113259	NA	1.00374173981	0.431625900655	NA	0.2411166923	0.370519051632	0.222292593073	NA
MCF10A	2.0444416018	1.89011505908	1.5872129801	-0.732878718607	0.149062252988	1.94580729726	-0.646259799047	-0.310383832595	-0.567035283887	-0.256493905287	-0.238631022838	NA	0.208792339253	0.537373410522	-0.141433301635	0.392636373634	0.423036789599
MCF10F	2.08579688294	0.712019069984	2.41433987593	-0.340943578506	0.975115571633	0.123006061643	-0.371690664085	-0.124786252062	-0.567035283887	-0.889129018619	-0.0437490208537	-2.61443694079	-0.291913460093	1.10618630951	0.222621705133	0.534589524101	0.687395113482
MCF12A	2.5717214363	1.86849861891	2.02254292527	-0.683886826095	0.134570089503	1.14833175668	NA	-0.816559052228	2.20334465954	0.263672743453	-1.04251928102	1.24852457177	-0.0188012059043	-0.256594594313	0.404649208517	0.222292593073	0.189779444997
MCF7	-0.643651672119	-0.714665981025	-1.01025569276	-0.0224962771742	0.207030906928	-0.0858565799386	-0.646259799047	0.870691679884	-0.567035283887	0.0949700465641	0.808859737829	0.874689586683	-0.633303777828	0.0159615864512	0.336388894748	-0.288738748611	0.45413776888
MDAMB134VI	-0.364503524442	1.33889583482	-1.01025569276	-0.193967900968	-0.0393358723164	-0.655481966069	-0.646259799047	-0.124786252062	-0.567035283887	2.01396322367	-0.945078280032	0.445471640843	NA	0.264817229758	0.450156084363	0.27907385326	0.360834831039
MDAMB157	-0.199082399893	-0.714665981025	-1.01025569276	0.0999834541074	-2.15519174113	-0.655481966069	-0.646259799047	-1.25524424258	-0.567035283887	-2.05598933877	-1.40792303475	0.251631278206	-1.20228764072	NA	0.381895770594	1.07401149588	0.578541686001
MDAMB175VII	1.4551288456	0.679594409734	0.93421806234	-0.120480062199	1.06206855254	-0.655481966069	1.51597213878	0.600731562746	3.11578483184	1.21262541345	0.760139237333	-0.454501471401	-0.917795709274	1.61574786485	-0.164186739558	-0.430691899078	NA
MDAMB231	-0.922799819796	-0.714665981025	-0.792590720177	-0.31644763225	-2.35808202991	-0.655481966069	-0.646259799047	-0.884049081513	-0.567035283887	-0.650133531361	NA	0.293168498771	0.834674588434	NA	0.950731718668	1.35791779681	0.578541686001
MDAMB361	0.152437489773	-0.714665981025	-1.01025569276	0.883853734309	1.19249802391	-0.655481966069	0.297571602386	0.82007415792	1.8529147383	-0.340845253731	1.51530699502	0.320859979148	-0.986073772821	NA	1.64471157532	-0.288738748611	0.51633972744
MDAMB415	-0.922799819796	-0.00132345552042	-1.01025569276	1.20230103564	-3.09718236765	-0.0858565799386	-0.646259799047	0.347643952929	-0.567035283887	1.39538666841	0.638337986092	0.597774782915	0.174653307479	-1.96303329127	0.19986826721	0.818495825037	-0.121230347807
MDAMB453	-0.922799819796	-0.714665981025	-0.154106800591	0.810365895541	0.482382013143	-0.655481966069	0.228929318645	0.0101938065065	-0.567035283887	0.425346161304	0.711418736837	0.334705719336	0.2770704028	0.359619379589	NA	0.27907385326	0.376385320679
SKBR3	0.752089066264	-0.714665981025	-0.110573806074	-0.193967900968	0.598319321023	-0.0858565799386	2.11659212151	0.769456635957	1.07932415744	0.973629926192	0.589617485596	NA	-0.576405391539	0.644025829082	0.313635456825	0.137120702792	0.562991196361
SUM1315MO2	1.4551288456	0.657977969567	0.223179151892	-0.855358449889	0.0331249451085	2.99012050517	-0.577617515306	0.313898938287	-0.567035283887	-0.804777670175	-0.238631022838	0.514700341785	NA	0.13446427374	NA	NA	0.407486299959
SUM149PT	1.30004654133	1.46859447582	1.19541602944	-0.806366557376	-0.517577267321	-0.655481966069	NA	0.347643952929	-0.567035283887	-1.17732945914	-1.16432053226	0.154711096887	0.607081043277	-0.458049162704	0.336388894748	0.392636373634	0.547440706721
SUM159PT	0.0904045680675	1.83607395866	0.0780691701676	-0.879854396145	-0.532069430806	-0.0858565799386	-0.646259799047	-0.24289380331	-0.567035283887	0.446433998415	-0.774556528296	0.611620523104	0.0153378258693	0.383319917047	0.404649208517	NA	0.314183362118
SUM185PE	-0.922799819796	-0.714665981025	-1.01025569276	1.30028482067	NA	0.502756319063	-0.646259799047	-0.175403774026	-0.567035283887	-0.467372276398	1.24734424229	NA	-0.815378613954	NA	0.598053430862	NA	-0.261184754569
SUM225CWN	NA	-0.714665981025	0.0200251774779	1.27578887441	1.14902153345	NA	1.72189899	-0.141658759384	-0.567035283887	0.889278577748	NA	-0.371427030271	NA	1.21283872807	NA	NA	-0.214533285648
SUM229PE	-0.922799819796	2.34406030258	0.107091166512	-0.536911148557	0.859178263753	2.42049511904	-0.508975231566	-1.05277415472	0.755341777416	-1.29682720277	-1.21304103276	NA	0.356728143605	0.904731741118	1.28065656855	-0.487473159265	0.547440706721
SUM52PE	-0.922799819796	0.0527176448966	0.15062416103	0.0264956153385	0.670780138448	-0.0858565799386	-0.646259799047	0.651349084709	-0.567035283887	1.27588892478	1.00374173981	0.403934420278	1.63125199648	NA	0.472909522286	0.875277085224	0.640743644562
T47D	0.0697269274989	-0.714665981025	-1.01025569276	-0.953342234914	0.656287974963	-0.0858565799386	-0.646259799047	0.66822159203	-0.567035283887	-0.242435347213	0.833219988077	-0.496038691966	NA	NA	-2.51916756459	0.36424574354	-0.0745788788866
UACC812	NA	-0.714665981025	0.0490471738228	NA	0.714256628903	-0.655481966069	2.03078926684	1.46122943612	-0.567035283887	0.439404719378	0.0293317298905	0.528546081973	-0.62192410057	0.738827978914	-0.48273487048	0.534589524101	NA
ZR751	-0.922799819796	-0.228296077272	-1.01025569276	-0.683886826095	0.134570089503	-0.655481966069	-0.646259799047	1.25875934827	1.09915981335	NA	1.68582874676	0.196248317453	-0.826758291212	-0.71875507474	-0.209693615404	-0.373910638891	-0.121230347807
ZR75B	-0.922799819796	-0.714665981025	-1.01025569276	-0.830862503633	0.453397686173	-0.655481966069	-0.646259799047	0.685094099351	-0.567035283887	NA	1.1986237418	0.182402577264	-0.46260861896	-0.61210265618	0.563923273978	-1.45275458245	-0.37003818205
